기준년월,경기북부청,의정부,고양,일산동부,일산서부,남양주남부,남양주북부,파주,양주,동두천,구리,포천,가평,연천
2022-01,106,729,698,521,430,747,309,840,366,117,300,222,142,79
2022-02,84,665,756,507,445,661,526,817,358,122,285,225,69,78
2022-03,55,796,947,565,556,839,549,1085,422,151,414,248,84,77
2022-04,55,941,1088,681,598,1049,735,1265,475,148,583,389,101,99
2022-05,82,1108,1191,771,598,1181,859,1363,630,237,511,402,77,165
2022-06,118,980,1034,689,616,1003,711,1123,659,212,415,404,71,131
2022-07,93,1072,1193,688,709,1130,788,1229,673,215,502,421,90,120
2022-08,103,952,1198,691,607,1153,618,1022,2122,156,745,260,144,88
2022-09,88,1055,1158,587,874,852,580,1001,1702,125,700,376,90,11
2022-10,402,1006,1441,544,1020,888,561,810,553,122,662,304,111,16
2022-11,74,969,2001,573,774,779,624,909,505,112,692,328,87,50
2022-12,81,779,3136,578,451,613,535,776,429,66,484,163,50,22
2023-01,71,801,1002,562,466,1014,548,706,372,89,491,223,53,27
2023-02,82,716,1076,500,450,431,526,748,490,67,544,233,56,22
2023-03,130,1006,1680,650,614,857,660,1011,563,106,596,323,108,29
2023-04,103,859,1437,603,1338,695,602,958,191,89,622,275,99,50
2023-05,102,985,1503,686,524,824,628,1042,301,98,782,295,104,53
2023-06,107,1101,1508,721,513,888,750,1159,375,95,742,343,185,49
2023-07,94,1231,1529,843,592,1051,740,1155,441,90,1883,310,115,81
2023-08,109,1209,3220,787,581,910,638,1168,550,91,776,316,179,33
2023-09,122,1240,1531,691,573,914,628,1151,490,110,887,333,127,52
2023-10,170,1004,1665,687,523,818,516,1010,702,104,845,302,128,36
2023-11,156,1171,1542,818,574,824,686,1193,394,89,769,311,111,41
2023-12,155,1215,1484,869,658,830,662,1201,808,75,740,333,92,43
2024-01,89,324,913,348,269,620,234,550,396,58,437,324,46,17
2024-02,76,202,368,137,129,236,102,295,196,27,95,202,22,11
2024-03,81,292,615,203,242,290,160,611,777,61,188,292,37,15
2024-04,71,285,412,244,189,347,202,487,316,55,192,285,51,11
2024-05,74,357,495,258,"1,001",339,179,455,281,76,149,357,71,14
2024-06,54,303,395,218,175,283,167,502,275,51,151,303,61,20
2024-07,85,226,433,300,167,347,202,548,308,56,153,97,41,34
2024-08,66,274,352,212,141,366,161,422,312,37,129,92,54,20
2024-09,81,266,392,240,155,316,199,409,304,52,134,90,38,16
2024-10,88,285,424,246,174,249,181,493,375,36,107,119,45,17
2024-11,113,206,347,212,192,222,160,517,345,60,155,73,39,26
2024-12,100,200,286,205,138,230,139,433,253,39,154,54,22,30
2025-01,100,207,229,142,134,147,141,360,197,21,207,80,21,17
2025-02,84,215,293,203,143,180,136,421,205,37,108,55,25,24
2025-03,76,301,315,189,169,238,203,531,210,51,120,126,33,26
2025-04,96,319,351,239,160,304,223,642,315,59,148,83,28,39
2025-05,108,310,357,170,189,324,227,541,247,56,118,105,44,29
2025-06,77,362,623,171,169,287,237,547,237,56,117,95,53,15
2025-07,227,307,433,238,281,375,239,629,264,57,152,106,81,22
2025-08,77,394,539,174,255,290,211,716,216,55,114,125,65,17
2025-09,102,291,377,209,217,288,236,601,250,55,120,120,43,35
2025-10,7,8,49,5,17,36,34,33,12,8,3,5,10,9
2025-11,233,260,333,218,219,293,198,585,157,51,132,95,24,39
2025-12,89,289,274,146,317,282,211,507,164,42,127,93,42,18
