부서명,민원신청 현황(신청),민원신청 현황(이송),민원접수 현황(접수),민원접수 현황(미접수),민원처리 현황(완료),민원처리 현황(미연장),민원처리 현황(1차연장),민원처리 현황(2차연장)
감사위원회,43,8,51,0,51,0,0,0
건설관리본부,26,605,631,0,631,0,0,0
경제국,6,10,16,0,16,0,0,0
공원관리사업소,3,38,41,0,41,0,0,0
교육정책전략국,3,5,8,0,8,0,0,0
교통국,247,3380,3627,0,3627,0,0,0
기업지원국,1,1,2,0,2,0,0,0
기획조정실,2,1,3,0,3,0,0,0
노은농수산물도매시장관리사업소,1,5,6,0,6,0,0,0
녹지농생명국,9,9,18,0,18,0,0,0
대덕소방서,0,27,27,0,27,0,0,0
대전동물보호사업소,0,3,3,0,3,0,0,0
도시주택국,34,21,55,0,55,0,0,0
도시철도건설국,12,33,45,0,45,0,0,0
동부소방서,3,45,48,0,48,0,0,0
둔산소방서,1,39,40,0,40,0,0,0
명품디자인담당관,1,0,1,0,1,0,0,0
문화예술관광국,6,7,13,0,13,0,0,0
미래전략산업실,1,0,1,0,1,0,0,0
복지국,3,10,13,0,13,0,0,0
상수도사업본부,1,14,15,0,15,0,0,0
서부소방서,4,40,44,0,44,0,0,0
소방본부,8,2,10,0,10,0,0,0
시민안전실,2,1,3,0,3,0,0,0
여성가족원,1,0,1,0,1,0,0,0
오정농수산물도매시장관리사업소,2,2,4,0,4,0,0,0
유성소방서,2,58,60,0,60,0,0,0
인사혁신담당관,1,0,1,0,1,0,0,0
차량등록사업소,3,42,45,0,45,0,0,0
철도건설국,11,17,28,0,28,0,0,0
체육건강국,13,15,28,0,28,0,0,0
하천관리사업소,29,142,171,0,171,0,0,0
한밭도서관,0,1,1,0,1,0,0,0
한밭수목원,1,6,7,0,7,0,0,0
행정자치국,26,29,55,0,55,0,0,0
환경국,13,24,37,0,37,0,0,0
