처리부서,접수건수,진행중,진행중(지연),완결,불가,반려,취하,이첩이송,기타,데이터 기준일자
가산동,14854,0,0,14820,1,3,0,0,30,2026-06-24
교통건설국 건설행정과,413,8,0,398,1,1,4,0,1,2026-06-24
교통건설국 교통행정과,869,14,0,814,2,29,6,1,3,2026-06-24
교통건설국 도로과,5,0,0,5,0,0,0,0,0,2026-06-24
교통건설국 주차관리과,22,2,0,20,0,0,0,0,0,2026-06-24
기획경제국 일자리청년과,70,1,0,67,0,0,2,0,0,2026-06-24
기획경제국 지역경제과,3695,55,0,2701,6,1,37,0,895,2026-06-24
독산1동,13149,2,0,13125,3,5,1,0,13,2026-06-24
독산2동,5284,0,0,5261,0,9,0,0,14,2026-06-24
독산3동,7863,0,0,7838,2,4,0,0,19,2026-06-24
독산4동,4246,0,0,4229,0,2,0,0,15,2026-06-24
문화환경국 문화체육과,477,7,0,410,0,12,9,0,39,2026-06-24
문화환경국 부동산정보과,1432,44,0,1309,32,13,30,0,4,2026-06-24
문화환경국 청소행정과,187,0,0,176,0,0,0,0,11,2026-06-24
문화환경국 환경과,472,1,0,461,0,0,0,0,10,2026-06-24
민원감사담당관,14,1,0,5,0,0,2,3,3,2026-06-24
보건소 보건정책과,13,0,0,12,0,0,1,0,0,2026-06-24
보건소 위생과,1499,2,0,1272,0,121,10,0,94,2026-06-24
보건소 의약과,570,5,0,551,0,0,1,0,13,2026-06-24
복지가족국,3,3,0,0,0,0,0,0,0,2026-06-24
복지가족국 가족정책과,2752,15,0,2654,0,70,9,1,3,2026-06-24
복지가족국 복지정책과,16,0,0,16,0,0,0,0,0,2026-06-24
복지가족국 복지지원과,6528,1538,0,4826,0,159,0,0,5,2026-06-24
복지가족국 아동청소년과,1601,2,0,1597,0,2,0,0,0,2026-06-24
복지가족국 어르신장애인과,110,2,0,102,0,6,0,0,0,2026-06-24
시흥1동,10565,122,0,10396,0,18,1,0,28,2026-06-24
시흥2동,4136,0,0,4127,0,4,0,0,5,2026-06-24
시흥3동,3942,0,0,3924,4,1,0,1,12,2026-06-24
시흥4동,5032,0,1,5022,0,3,0,0,6,2026-06-24
시흥5동,4876,0,1,4868,0,1,0,0,6,2026-06-24
푸른미래도시국 건축과,469,37,0,381,0,0,47,0,4,2026-06-24
푸른미래도시국 공원녹지과,335,3,0,331,0,0,0,0,1,2026-06-24
푸른미래도시국 도시계획과,2,0,0,2,0,0,0,0,0,2026-06-24
푸른미래도시국 주거정비과,49,0,0,41,1,0,2,2,3,2026-06-24
푸른미래도시국 주택과,3508,411,0,2987,0,34,36,0,40,2026-06-24
행정안전국 교육지원과,1,0,0,1,0,0,0,0,0,2026-06-24
행정안전국 민원여권과,25069,0,0,25015,0,4,3,0,47,2026-06-24
행정안전국 자치행정과,14,0,0,14,0,0,0,0,0,2026-06-24
행정안전국 주민안전과,3,0,0,3,0,0,0,0,0,2026-06-24
행정안전국 행정지원과,17,0,0,11,0,0,0,0,6,2026-06-24
